LFQ intensity 401#1,LFQ intensity 401#2,LFQ intensity 401#3,LFQ intensity 401#4,LFQ intensity WT#1,LFQ intensity WT#2,LFQ intensity WT#3,LFQ intensity WT#4,C: Only identified by site,C: Reverse,C: Potential contaminant,C: Student's T-test Significant MT_WT,C: Student's T-test significant,N: Peptides,N: Razor + unique peptides,N: Unique peptides,N: Sequence coverage [%],N: Unique + razor sequence coverage [%],N: Unique sequence coverage [%],N: Mol. weight [kDa],N: Q-value,N: Score,N: Intensity,N: MS/MS count,N: -Log Student's T-test p-value MT_WT,N: Student's T-test q-value MT_WT,N: Student's T-test Difference MT_WT,N: Student's T-test Test statistic MT_WT,T: Protein IDs,T: Majority protein IDs,T: id,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Keywords
25.265,25.3377,25.7393,25.2708,25.4425,25.8908,25.9526,26.3845,,,,,,4,4,4,12,12,12,42.436,0,7.372,439600000,15,1.21486,0.110987,-0.514417,-1.53736,A6T4Y4,A6T4Y4,94,LPXB_KLEP7,Lipid-A-disaccharide synthase (EC 2.4.1.182),lpxB KPN78578_01940 KPN_00195,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),383,lipid A biosynthetic process [GO:0009245],,lipid-A-disaccharide synthase activity [GO:0008915],Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Transferase
26.8398,26.2891,26.4189,26.0778,25.8393,26.2125,26.113,24.8727,,,,,,2,2,2,14.1,14.1,14.1,21.58,0,7.79,632360000,2,0.95743,0.135963,0.64699,1.4169,A6T4Y5,A6T4Y5,95,RNH2_KLEP7,Ribonuclease HII (RNase HII) (EC 3.1.26.4),rnhB KPN78578_01950 KPN_00196,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),199,RNA catabolic process [GO:0006401],cytoplasm [GO:0005737],manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523],Cytoplasm;Endonuclease;Hydrolase;Manganese;Metal-binding;Nuclease
25.4564,26.6513,27.6082,27.9725,26.5106,27.291,28.2388,28.1779,,,,,,11,11,11,14.1,14.1,14.1,130.03,0,36.259,1553200000,39,0.399588,0.390484,-0.632455,-0.783694,A6T4Y6,A6T4Y6,96,A6T4Y6_KLEP7,DNA polymerase III subunit alpha (EC 2.7.7.7),dnaE KPN_00197,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),1160,DNA replication [GO:0006260],cytoplasm [GO:0005737],3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; nucleic acid binding [GO:0003676],Cytoplasm;DNA replication;DNA-directed DNA polymerase;Nucleotidyltransferase;Transferase
33.5301,33.5666,33.6916,33.6335,33.6708,33.5129,33.932,33.6776,,,,,,27,27,27,77.4,77.4,77.4,35.311,0,323.31,1.10E+11,471,0.443297,0.623927,-0.0928745,-0.453272,A6T4Y7,A6T4Y7,97,ACCA_KLEP7,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),accA KPN78578_01970 KPN_00198,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),319,fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295],acetyl-CoA carboxylase complex [GO:0009317],acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743],ATP-binding;Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Nucleotide-binding;Transferase
27.4908,27.5364,28.3103,28.4296,27.3124,28.3606,28.8182,28.5982,,,,,,8,8,8,19.1,19.1,19.1,82.644,0,49.167,2484400000,22,0.340169,0.497687,-0.330564,-0.627359,A6T4Y8,A6T4Y8,98,A6T4Y8_KLEP7,"Lysine decarboxylase 2, constitutive",ldcC KPN_00199,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),729,amino acid metabolic process [GO:0006520],cytoplasm [GO:0005737],carboxy-lyase activity [GO:0016831],Pyridoxal phosphate
26.851,27.8689,28.4783,28.779,26.9792,28.0229,28.9635,28.2248,,,,,,4,4,4,29.5,29.5,29.5,14.625,0,25.063,2995200000,28,0.0310501,0.936936,-0.0533171,-0.0759879,A6T4Y9,A6T4Y9,99,A6T4Y9_KLEP7,Enzyme,yaeR KPN_00200,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),129,,,,
29.6985,30.0445,29.5222,29.2096,29.3902,29.6945,30.0111,29.2206,,,,,,4,4,4,56,56,56,9.4125,0,16.95,6782100000,51,0.056709,0.907599,0.0396004,0.110772,A6T4Z1,A6T4Z1,100,A6T4Z1_KLEP7,Modulator of Rho-dependent transcription termination,rof KPN_00202,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),84,,,,
28.0388,27.5871,27.748,27.3518,27.8045,27.1018,26.3782,27.1866,,,,,,2,2,2,52.1,52.1,52.1,7.6866,0,41.313,1576200000,17,0.872021,0.164851,0.563652,1.29034,A6T4Z2,A6T4Z2,101,A6T4Z2_KLEP7,UPF0253 protein KPN_00203,yaeP KPN_00203,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),71,,,,
31.3243,31.0868,30.763,30.7723,31.6133,31.269,30.5613,31.3126,,,,,,14,14,14,57.3,57.3,57.3,26.403,0,177.76,19340000000,117,0.330715,0.560038,-0.202446,-0.544467,A6T4Z5,A6T4Z5,102,A6T4Z5_KLEP7,Copper homeostasis protein,cutF KPN_00206,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),239,,,,
34.0037,33.8661,33.7896,33.7063,33.7907,33.7858,33.4899,33.786,,,,,,42,42,42,73.6,73.6,73.6,63.523,0,323.31,1.22E+11,670,0.625864,0.506368,0.128325,0.614828,A6T4Z7,A6T4Z7,103,SYP_KLEP7,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS),proS KPN78578_02070 KPN_00208,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),572,prolyl-tRNA aminoacylation [GO:0006433],cytoplasm [GO:0005737],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827],Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis
31.7682,31.2565,31.2388,31.1958,31.4004,31.2323,30.469,30.9035,,,,,,6,6,6,57.8,57.8,57.8,14.316,0,193.85,20836000000,72,0.722395,0.263971,0.363533,1.01883,A6T4Z9,A6T4Z9,104,A6T4Z9_KLEP7,Outer membrane lipoprotein RcsF,rcsF KPN_00210,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),135,intracellular signal transduction [GO:0035556],periplasmic side of cell outer membrane [GO:0031241],,Cell outer membrane;Disulfide bond;Membrane;Signal
31.4771,31.5326,31.5658,31.4921,31.9525,31.9606,32.3449,32.0494,,,,+,MT_WT,14,14,14,61.3,61.3,61.3,29.383,0,154.4,30435000000,202,2.99535,0.0264615,-0.55998,-2.72805,A6T500,A6T500,105,A6T500_KLEP7,Lipoprotein,metQ KPN_00211,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),271,,membrane [GO:0016020],,Lipoprotein;Membrane;Signal
28.5659,28.5533,28.817,28.3243,29.2985,29.2985,29.4071,28.911,,,,+,MT_WT,2,2,2,13.4,13.4,13.4,23.209,0,39.183,4152100000,20,2.37445,0.0314098,-0.663632,-2.55782,A6T501,A6T501,106,A6T501_KLEP7,"D-and L-methionine transport protein (ABC superfamily, membrane)",metI KPN_00212,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),217,transmembrane transport [GO:0055085],plasma membrane [GO:0005886],,Cell inner membrane;Cell membrane;Membrane;Transmembrane;Transmembrane helix;Transport
29.2827,29.3424,29.3514,28.8059,29.0149,29.2579,29.1982,29.5785,,,,,,9,9,9,34.1,34.1,34.1,37.633,0,70.091,5257100000,34,0.144448,0.814713,-0.0667725,-0.232794,A6T502,A6T502,107,A6T502_KLEP7,"D-and L-methionine transport protein (ABC superfamily, atp_bind)",metN KPN_00213,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),343,,Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886],ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],Amino-acid transport;ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Transport
27.9298,26.4267,27.6022,27.2374,28.6073,29.0105,27.5699,28.4795,,,,,,5,5,5,35.6,35.6,35.6,22.883,0,36.304,2318700000,29,1.34294,0.05808,-1.11778,-2.01406,A6T503,A6T503,108,A6T503_KLEP7,"D,D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)",gmhB KPN_00214,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),205,ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; carbohydrate metabolic process [GO:0005975],cytoplasm [GO:0005737],"D,D-heptose 1,7-bisphosphate phosphatase activity [GO:0034200]; metal ion binding [GO:0046872]",Carbohydrate metabolism;Cytoplasm;Hydrolase;Magnesium;Metal-binding;Zinc
29.1476,29.2045,29.2094,28.9995,28.4811,28.6172,29.6142,29.339,,,,,,6,6,6,32.2,32.2,32.2,29.313,0,58.817,4686700000,33,0.177594,0.723518,0.127391,0.326303,A6T504,A6T504,109,A6T504_KLEP7,"2,5-diketo-D-gluconate reductase B",dkgB KPN_00221,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),267,L-ascorbic acid biosynthetic process [GO:0019853],,oxidoreductase activity [GO:0016491],Ascorbate biosynthesis
26.8876,26.655,26.2623,27.2637,25.8644,NaN,27.29,29.2531,,,,,,4,4,4,17.9,17.9,17.9,33.554,0,29.696,1338400000,10,0.346067,0.438661,-0.702022,-0.723969,A6T505,A6T505,110,A6T505_KLEP7,Transcriptional regulator (LysR family),yafC KPN_00222,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),301,,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],DNA-binding;Transcription;Transcription regulation
27.2954,27.1335,27.7552,28.0242,27.6065,26.7334,27.3116,27.636,,,,,,5,5,5,29.5,29.5,29.5,28.558,0,21.36,1554000000,18,0.335132,0.53498,0.230175,0.569366,A6T510,A6T510,111,GLO2_KLEP7,Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II),gloB KPN78578_02200 KPN_00227,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),251,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243],,hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872],Hydrolase;Metal-binding;Zinc
23.9901,25.0174,25.6442,25.5775,24.4959,25.2235,26.0555,26.1654,,,,,,2,2,2,14.2,14.2,14.2,29.692,0,7.5131,332640000,8,0.333528,0.480146,-0.427762,-0.64998,A6T516,A6T516,113,A6T516_KLEP7,Amidase-type enzyme,yafV KPN_00234,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),261,nitrogen compound metabolic process [GO:0006807],,,
30.6801,29.5387,30.4132,30.252,30.3127,31.191,30.9113,31.2911,,,,,,8,8,8,50.8,50.8,50.8,20.871,0,104.73,13831000000,105,1.12336,0.100484,-0.705525,-1.6053,A6T518,A6T518,114,GMHA_KLEP7,Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase),gmhA KPN78578_02280 KPN_00236,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),193,carbohydrate metabolic process [GO:0005975]; D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061],cytoplasm [GO:0005737],carbohydrate derivative binding [GO:0097367]; D-sedoheptulose 7-phosphate isomerase activity [GO:0008968]; zinc ion binding [GO:0008270],Carbohydrate metabolism;Cytoplasm;Isomerase;Metal-binding;Zinc
29.2422,29.6111,30.5988,30.3842,29.5131,30.0194,30.8265,30.9693,,,,,,13,13,13,47,47,47,48.416,0,72.236,10538000000,59,0.33999,0.487983,-0.372984,-0.642545,A6T521,A6T521,116,NQRA_KLEP7,Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A),nqrA KPN78578_02310 KPN_00239,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),447,sodium ion transport [GO:0006814],,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",Ion transport;NAD;Sodium;Sodium transport;Translocase;Transport;Ubiquinone
25.8791,25.421,26.0478,25.6687,27.0747,27.4295,27.1911,27.222,,,,+,MT_WT,6,6,6,17.2,17.2,17.2,45.281,0,13.213,863820000,23,4.12625,0.008,-1.47518,-5.55852,A6T526,A6T526,118,NQRF_KLEP7,Na(+)-translocating NADH-quinone reductase subunit F (Na(+)-NQR subunit F) (Na(+)-translocating NQR subunit F) (EC 7.2.1.1) (NQR complex subunit F) (NQR-1 subunit F),nqrF KPN78578_02360 KPN_00244,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),407,sodium ion transport [GO:0006814],plasma membrane [GO:0005886],"2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",2Fe-2S;3D-structure;Cell inner membrane;Cell membrane;FAD;Flavoprotein;Ion transport;Iron;Iron-sulfur;Membrane;Metal-binding;NAD;Sodium;Sodium transport;Translocase;Transmembrane;Transmembrane helix;Transport;Ubiquinone
33.9438,34.229,33.8389,33.9403,34.1814,33.9601,33.9513,34.0441,,,,,,26,26,26,53.2,53.2,53.2,48.289,0,323.31,1.43E+11,441,0.181504,0.823777,-0.0462275,-0.219567,A6T531,A6T531,119,A6T531_KLEP7,Aminoacyl-histidine dipeptidase (Peptidase D),pepD KPN_00249,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),449,proteolysis [GO:0006508],,hydrolase activity [GO:0016787],Hydrolase
32.0393,31.3569,31.7087,32.3047,31.9457,32.2873,31.7505,31.694,,,,,,10,10,10,80.9,80.9,80.9,16.934,0,167.65,33890000000,149,0.100273,0.845876,-0.0669785,-0.188022,A6T532,A6T532,120,XGPT_KLEP7,Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase),gpt KPN78578_02420 KPN_00250,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),152,GMP salvage [GO:0032263]; purine ribonucleoside salvage [GO:0006166]; XMP salvage [GO:0032265],plasma membrane [GO:0005886],guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; magnesium ion binding [GO:0000287]; xanthine phosphoribosyltransferase activity [GO:0000310],Cell inner membrane;Cell membrane;Glycosyltransferase;Magnesium;Membrane;Metal-binding;Purine salvage;Transferase
31.1816,31.0158,30.903,30.8839,31.1755,31.0335,31.0137,30.8667,,,,,,18,18,18,48.3,48.3,48.3,46.931,0,72.053,17856000000,121,0.103854,0.895814,-0.0262618,-0.128622,A6T533,A6T533,121,FRSA_KLEP7,Esterase FrsA (EC 3.1.1.1),frsA KPN78578_02430 KPN_00251,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),414,,,carboxylesterase activity [GO:0106435],Hydrolase;Serine esterase
29.6231,29.0448,29.4918,29.6221,29.9012,29.5264,28.6119,29.7022,,,,,,6,6,6,40.2,40.2,40.2,15.539,0,30.363,6325000000,64,0.0106416,0.975613,0.0100017,0.0234051,A6T534,A6T534,122,A6T534_KLEP7,Sigma factor-binding protein Crl,crl KPN_00252,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),132,positive regulation of DNA-templated transcription [GO:0045893],cytoplasm [GO:0005737],,Activator;Cytoplasm;Transcription;Transcription regulation
25.184,26.9706,26.7279,27.8599,28.2125,29.2681,29.4787,29.9349,,,,+,MT_WT,8,8,8,26.8,26.8,26.8,51.711,0,70.475,3128200000,17,2.05467,0.0114839,-2.53795,-3.26868,A6T538,A6T538,123,A6T538_KLEP7,"Succinate-semialdehyde dehydrogenase I, NADP-dependent",gabD KPN_00256,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),482,gamma-aminobutyric acid catabolic process [GO:0009450],,succinate-semialdehyde dehydrogenase [NAD(P)+] activity [GO:0009013],Oxidoreductase
30.9202,30.8858,30.7644,30.579,30.4882,30.3537,30.5297,30.1473,,,,,,15,15,15,41.2,41.2,41.2,44.808,0,117.89,13429000000,129,1.90655,0.0777528,0.407615,1.79848,A6T561,A6T561,124,PROA_KLEP7,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase),proA KPN78578_02710 KPN_00280,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),417,L-proline biosynthetic process [GO:0055129],cytoplasm [GO:0005737],glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661],Amino-acid biosynthesis;Cytoplasm;NADP;Oxidoreductase;Proline biosynthesis
31.1444,30.9951,31.1205,30.7811,30.9862,31.1166,31.0009,30.8167,,,,,,15,15,15,51,51,51,39.116,0,104.68,17649000000,119,0.107651,0.885027,0.0301938,0.140654,A6T562,A6T562,125,PROB_KLEP7,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),proB KPN78578_02720 KPN_00281,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),367,L-proline biosynthetic process [GO:0055129]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723],Amino-acid biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Proline biosynthesis;Transferase
32.7119,32.6385,32.538,32.901,32.6934,32.9874,32.8792,32.6121,,,,,,19,19,19,69.5,69.5,69.5,28.721,0,207.44,59310000000,253,0.359671,0.649646,-0.0956879,-0.423399,A6T580,A6T580,126,A6T580_KLEP7,"Cysteine transport protein (ABC superfamily, peri_bind)",fliY KPN_00299,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),269,amino acid transport [GO:0006865],membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288],ligand-gated monoatomic ion channel activity [GO:0015276],Amino-acid transport;Signal;Transport
27.6757,28.0555,27.1355,27.3793,28.1245,27.5702,27.1435,27.0299,,,,,,3,3,3,11,11,11,33.198,0,7.7857,1673600000,8,0.110065,0.823257,0.0944791,0.220386,A6T591,A6T591,127,A6T591_KLEP7,Homocysteine methyltransferase,mmuM KPN_00310,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),310,methionine biosynthetic process [GO:0009086]; methylation [GO:0032259],,methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270],Metal-binding;Methyltransferase;Transferase;Zinc
31.8907,31.8253,31.8426,31.758,31.1352,31.1694,31.0558,31.029,,,,+,MT_WT,21,21,21,56.8,56.8,56.8,35.455,0,154.49,25831000000,152,5.58632,0.00430769,0.731816,4.75241,A6T597,A6T597,128,A6T597_KLEP7,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24),hemB KPN_00316,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),324,protoporphyrinogen IX biosynthetic process [GO:0006782],,metal ion binding [GO:0046872]; porphobilinogen synthase activity [GO:0004655],Heme biosynthesis;Lyase;Magnesium;Metal-binding;Porphyrin biosynthesis;Zinc
33.3402,33.5152,33.1989,33.1856,33.1492,32.8113,32.9788,32.8738,,,,,,16,16,16,53.5,53.5,53.5,40.822,0,191.47,79948000000,270,1.80971,0.0946066,0.356709,1.63844,A6T5A4,A6T5A4,131,A6T5A4_KLEP7,D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase),ddl KPN_00323,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),376,cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],cytoplasm [GO:0005737],ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; metal ion binding [GO:0046872],ATP-binding;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Peptidoglycan synthesis
25.0326,24.5292,25.2852,24.934,25.3379,26.0217,25.178,NaN,,,,,,5,5,5,42.4,42.4,42.4,10.828,0,2.432,311900000,12,0.984885,0.140555,-0.567279,-1.43078,A6T5A9,A6T5A9,132,A6T5A9_KLEP7,Phosphate starvation-inducible protein PsiF,psiF KPN_00328,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),99,,,,
31.4895,31.3723,30.816,30.9488,31.4965,31.582,31.3456,31.91,,,,,,11,11,11,63.5,63.5,63.5,28.298,0,112.19,23264000000,138,1.10526,0.149158,-0.42687,-1.36545,A6T5B0,A6T5B0,133,A6T5B0_KLEP7,Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase),proC KPN_00329,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),271,L-proline biosynthetic process [GO:0055129],cytoplasm [GO:0005737],pyrroline-5-carboxylate reductase activity [GO:0004735],Amino-acid biosynthesis;Cytoplasm;NADP;Oxidoreductase;Proline biosynthesis
29.9047,30.1104,29.9111,29.5349,29.714,29.4788,29.5779,29.8728,,,,,,6,6,6,63.1,63.1,63.1,24.878,0,82.207,7562500000,49,0.668002,0.389845,0.204392,0.790788,A6T5B2,A6T5B2,134,A6T5B2_KLEP7,Uncharacterized protein conserved in bacteria,KPN_00331,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),236,,,,Coiled coil
28.5653,27.3354,27.7958,27.9279,29.438,29.0539,27.495,28.1651,,,,,,3,3,3,42.9,42.9,42.9,7.2959,0,40.329,2946200000,14,0.587566,0.262609,-0.631899,-1.02352,A6T5B4,A6T5B4,135,A6T5B4_KLEP7,Protein YaiA,yaiA KPN_00333,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),63,,,,
29.5698,29.808,29.2282,29.174,29.4051,29.6945,29.1533,29.5571,,,,,,4,4,4,56.4,56.4,56.4,10.178,0,15.423,6086300000,29,0.0134408,0.974444,-0.00753069,-0.0250857,A6T5B6,A6T5B6,136,PPNP_KLEP7,Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase),ppnP KPN78578_03260 KPN_00335,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),94,,,guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]; pyrimidine-nucleoside phosphorylase activity [GO:0016154]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850],Glycosyltransferase;Transferase
29.5853,29.5697,29.4138,29.6915,29.5977,29.4346,29.9276,29.2524,,,,,,9,9,9,36.3,36.3,36.3,34.028,0,32.643,6493700000,45,0.0266197,0.95949,0.0120053,0.04522,A6T5B7,A6T5B7,137,RDGC_KLEP7,Recombination-associated protein RdgC,rdgC KPN78578_03270 KPN_00336,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),303,DNA recombination [GO:0006310],cytoplasm [GO:0005737]; nucleoid [GO:0009295],,Cytoplasm;DNA recombination
24.6042,25.5728,25.4935,25.7671,NaN,24.8484,25.1767,25.6691,,,,,,5,5,5,8.6,8.6,8.6,117.32,0,25.071,306400000,8,0.130729,0.78113,0.127993,0.268889,A6T5B9,A6T5B9,139,A6T5B9_KLEP7,Nuclease SbcCD subunit C,sbcC KPN_00338,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),1045,DNA recombination [GO:0006310]; DNA replication [GO:0006260]; double-strand break repair [GO:0006302],,ATP hydrolysis activity [GO:0016887]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527],Coiled coil;DNA recombination;DNA replication;Endonuclease;Exonuclease;Hydrolase;Nuclease
28.0572,27.8238,28.2466,28.3125,27.696,28.1566,27.9942,27.843,,,,,,5,5,5,16.2,16.2,16.2,45.047,0,11.597,2194400000,13,0.60001,0.429993,0.187596,0.724761,A6T5C0,A6T5C0,140,A6T5C0_KLEP7,Nuclease SbcCD subunit D,sbcD KPN_00339,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),401,DNA recombination [GO:0006310]; DNA replication [GO:0006260],,3'-5' exonuclease activity [GO:0008408]; endonuclease activity [GO:0004519],DNA recombination;DNA replication;Endonuclease;Exonuclease;Hydrolase;Nuclease
35.2645,35.3066,35.1971,35.2538,35.9185,35.6684,35.5378,35.6466,,,,+,MT_WT,18,18,18,74,74,74,22.355,0,257.97,3.95E+11,601,2.70975,0.0455904,-0.437311,-2.2465,A6T5D5,A6T5D5,142,A6T5D5_KLEP7,Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Peroxiredoxin) (Thioredoxin peroxidase),KPN_00354,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),200,,,peroxiredoxin activity [GO:0051920],Oxidoreductase;Peroxidase
30.5162,30.5657,30.2145,30.0049,29.8661,29.9697,29.906,29.8325,,,,,,6,6,6,25.7,25.7,25.7,39.133,0,56.739,9772300000,43,1.72593,0.0822021,0.431781,1.75248,A6T5D7,A6T5D7,143,QUEA_KLEP7,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA),queA KPN78578_03470 KPN_00356,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),354,queuosine biosynthetic process [GO:0008616],cytoplasm [GO:0005737],S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity [GO:0051075],Cytoplasm;Queuosine biosynthesis;S-adenosyl-L-methionine;Transferase
